folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100743305,1,2,0,321.42,0,18.72,28.5
100746901,1,2,1722.84,334.28,0,18.72,28.5
100746902,1,2,1774.26,257.14,0,18.72,28.5
100746903,1,2,1594.26,192.85,0,18.72,28.5
100746904,1,2,527.13,167.14,0,18.72,28.5
100746906,1,2,983.55,1157.12,0,18.72,28.5
100763801,1,2,0,321.42,0,18.72,28.5
100763801,2,2,1529.98,0,0,18.72,28.5
100763803,1,2,642.84,0,0,18.72,28.5
100763804,1,2,2044.23,0,0,18.72,28.5
100763805,1,2,257.14,0,0,18.72,28.5
100763806,1,2,0,141.42,0,18.72,28.5
100769401,1,2,1754.96,359.99,0,18.72,28.5
100769401,2,2,154.28,154.28,0,18.72,28.5
100769402,1,2,257.14,308.57,0,18.72,28.5
100769403,1,2,681.41,282.85,0,18.72,28.5
100769404,1,2,514.28,0,0,18.72,28.5
100769405,1,2,1259.96,456.41,0,18.72,28.5
100769406,1,2,257.13,0,0,18.72,28.5
100774501,1,3,771.29,308.57,0,18.72,28.5
100774503,1,3,2365.68,642.85,0,18.72,28.5
100774504,1,3,385.71,321.42,0,18.72,28.5
100774505,1,3,424.27,359.99,0,18.72,28.5
100813301,1,3,179.99,0,0,18.72,28.5
100813302,1,3,0,359.99,0,18.72,28.5
100813303,1,3,398.56,141.42,0,18.72,28.5
100813304,1,3,1748.54,0,0,18.72,28.5
100813305,1,3,218.57,359.98,0,18.72,28.5
100818901,1,3,565.7,0,0,18.72,28.5
100818902,1,3,854.97,0,0,18.72,28.5
100818903,1,3,0,552.84,0,18.72,28.5
100818904,1,3,1131.41,0,745.7,18.72,28.5
100818905,1,3,231.42,0,0,18.72,28.5
100818906,1,3,938.56,0,1311.41,18.72,28.5
100828801,1,3,0,0,0,18.72,28.5
100828802,1,3,1105.69,0,437.14,18.72,28.5
100828803,1,3,1735.7,0,0,18.72,28.5
100828805,1,3,1427.13,411.42,0,18.72,28.5
100828806,1,3,707.14,617.13,0,18.72,28.5
100832401,1,3,385.7,642.85,0,18.72,28.5
100832402,1,3,2532.83,321.42,167.14,18.72,28.5
